0,19,1
0,70,1
1,49,2
1,94,2
2,65,1
2,96,1
3,16,1
3,17,2
3,32,1
3,33,2
3,53,1
3,60,1
3,82,2
3,85,2
3,97,2
4,48,1
4,70,1
4,92,1
4,95,2
6,9,2
6,59,1
6,72,1
6,74,1
6,87,2
7,62,1
7,63,1
7,79,1
7,83,2
7,94,1
8,7,2
8,10,1
8,24,1
8,78,2
9,38,1
9,59,2
9,74,1
10,7,1
10,83,1
11,6,1
11,13,1
11,39,1
11,47,1
11,67,1
11,88,2
12,9,2
12,42,2
12,91,2
13,8,2
13,10,2
13,59,1
13,67,2
13,78,1
13,87,2
14,4,1
14,19,1
14,57,1
14,70,2
14,95,2
15,4,2
15,20,2
15,28,1
15,44,1
15,58,2
15,92,1
16,32,1
16,33,2
16,36,1
16,46,1
16,97,2
17,16,1
17,32,2
17,46,2
17,85,2
17,97,2
18,21,2
18,29,2
18,34,1
18,52,2
18,62,2
18,80,1
19,57,2
19,70,1
20,23,1
20,44,2
20,46,1
20,85,2
20,92,2
21,22,1
21,25,2
21,34,2
21,52,1
21,58,2
21,98,2
22,25,1
22,52,1
22,64,2
22,76,2
22,89,2
22,98,1
23,21,2
23,22,2
23,52,1
23,58,1
23,76,2
23,86,1
23,98,2
24,7,2
24,10,2
24,29,1
24,40,2
24,45,1
24,63,1
24,69,1
24,90,2
25,2,1
25,23,2
25,34,2
25,65,1
25,76,1
25,81,1
25,86,1
25,98,1
26,5,2
26,31,2
27,37,2
27,41,2
27,62,2
27,68,1
27,79,1
28,4,1
28,48,1
28,58,2
28,89,1
28,92,1
29,45,2
29,52,1
29,62,1
29,63,2
29,69,2
29,71,1
29,80,2
29,81,2
29,84,2
30,51,1
31,5,2
31,50,1
31,96,2
32,60,1
32,73,2
32,97,2
33,17,2
33,32,2
33,35,2
33,60,1
33,61,1
34,86,1
35,3,1
35,16,2
35,17,2
35,32,2
35,60,2
35,73,2
35,82,1
35,97,2
36,3,2
36,17,1
36,32,2
36,35,1
36,85,1
37,7,2
37,18,1
37,24,2
37,29,2
37,45,2
37,62,1
37,63,1
37,69,1
37,79,2
37,80,1
37,90,2
38,6,1
38,11,1
38,13,2
38,56,2
38,78,2
38,87,1
39,6,2
39,9,2
39,38,2
39,56,2
40,20,1
40,85,2
40,90,1
40,92,2
41,29,1
41,37,2
41,71,1
41,80,2
41,84,2
